Title,Year,Journal,Keywords,Doi,Citation,Evidence_Hierarchy,Original Link,PMID,Abstract,Relevance
Second-line treatments for Advanced Hepatocellular Carcinoma: A Systematic Review and Bayesian Network Meta-analysis.,2022,Clin Exp Med,"['Hepatocellular carcinoma', 'Network meta-analysis', 'Second-line treatment']",10.1007/s10238-021-00727-7,"Second-line treatments for Advanced Hepatocellular Carcinoma: A Systematic Review and Bayesian Network Meta-analysis. SR&MA, Clin Exp Med, 2022, https://doi.org/10.1007/s10238-021-00727-7, 34146196",SR&MA,https://doi.org/10.1007/s10238-021-00727-7,34146196,"BACKGROUND & AIMS: A plethora of second-line therapies have been recently introduced for hepatocellular carcinoma (HCC) treatment with promising results. A meta-analysis of second-line treatments for HCC has been performed to better tailor their use based on improved patient stratification and to identify the best available option. METHODS: Pubmed, Scopus, Web of Science, and ClinicalTrials.gov were searched for randomized controlled trials evaluating second-line treatment for advanced HCC in patients already treated with sorafenib. The primary outcome was overall survival (OS). Secondary outcomes were progression-free survival (PFS) and drug withdrawal due to adverse events. Network meta-analyses were performed considering placebo as the basis for comparison in efficacy and safety analyses. Subgroup stratification considered gender, age, sorafenib-responsiveness and drug tolerability, viral infection, macrovascular invasion, HCC extrahepatic spread, performance status, and alpha-fetoprotein levels. RESULTS: Fourteen phase II or III randomized controlled trials, involving 5,488 patients and 12 regimens, were included in the analysis. Regorafenib (hazard ratio (HR) = 0.63, 95% confidence interval (CI) = 0.50-0.79), cabozantinib (HR = 0.76, 95% CI = 0.63-0.92), and ramucirumab (HR = 0.82, 95% CI = 0.70-0.76) significantly prolonged OS compared with placebo. Cabozantinib (HR = 0.44, 95% CI = 0.36-0.52), regorafenib (HR = 0.46, 95% CI = 0.37-0.56), ramucirumab (HR = 0.54, 95% CI = 0.43-0.68), brivanib (HR = 0.56, 95% CI = 0.42-0.76), S-1 (HR = 0.60, 95% CI = 0.46-0.77), axitinib (HR = 0.62, 95% CI = 0.44-0.87), and pembrolizumab (HR = 0.72, 95% CI = 0.57-0.90) significantly improved PFS compared with placebo. None of the compared drugs deemed undoubtedly superior after having performed a patients' stratification. CONCLUSIONS: The results of this network meta-analysis suggest the use of regorafenib and cabozantinib as second-line treatments in HCC.",0.6944079748257236
First- and Second-Line Treatments for Patients with Advanced Hepatocellular Carcinoma in China: A Systematic Review.,2022,Curr Oncol,"['China', 'hepatocellular carcinoma', 'systematic review', 'systemic therapy']",10.3390/curroncol29100575,"First- and Second-Line Treatments for Patients with Advanced Hepatocellular Carcinoma in China: A Systematic Review. SR&MA, Curr Oncol, 2022, https://doi.org/10.3390/curroncol29100575, 36290852",SR&MA,https://doi.org/10.3390/curroncol29100575,36290852,"Chinese national guidelines recommend various systemic therapies for patients with advanced hepatocellular carcinoma (HCC), but optimal treatment selection remains uncertain. To summarize the evidence supporting the systemic treatment of Chinese patients with advanced HCC, we performed a systematic review using a literature search of PubMed, Embase, China National Knowledge Infrastructure, and the Chinese Scientific Journal Database between 1 January 2009 and 15 June 2021, and abstracts from ASCO 2020, ASCO GI 2021, ESMO 2020, and ESMO GI 2020. The inclusion criteria were: Chinese patients aged >/=18 years with advanced HCC; first- or second-line systemic therapy; an evaluation of the efficacy or safety outcomes; and a randomized controlled, non-randomized controlled, prospective, or retrospective design. Thirty reports were identified for the following therapies: the single-agent tyrosine kinase inhibitor (TKI; n = 10), single-agent programmed death-1 (PD-1) inhibitor (n = 4), chemotherapy (n = 5), PD-1/programmed death-ligand 1 (PD-L1) inhibitor plus TKI (n = 6), PD-1/PD-L1 inhibitor plus bevacizumab or biosimilar (n = 4), and PD-1/PD-L1 inhibitor plus chemotherapy (n = 1). The heterogeneity between the studies precluded statistical analysis and the data were summarized using tables. In the first-line setting, evidence supported the use of atezolizumab or sintilimab plus bevacizumab or a biosimilar. There remains insufficient evidence to determine the optimal approved TKI-based therapeutic option, and active controlled trials in the second-line setting were lacking.",0.6881058716424079
Systemic therapy with or without locoregional therapy for advanced hepatocellular carcinoma: A systematic review and network meta-analysis.,2023,Crit Rev Oncol Hematol,"['Hepatocellular carcinoma', 'Locoregional therapy', 'Network meta-analysis', 'Systemic therapy']",S1040-8428(23)00028-8,"Systemic therapy with or without locoregional therapy for advanced hepatocellular carcinoma: A systematic review and network meta-analysis. SR&MA, Crit Rev Oncol Hematol, 2023, https://doi.org/S1040-8428(23)00028-8, 36805079",SR&MA,https://doi.org/S1040-8428(23)00028-8,36805079,"We aim to identify the optimal treatment option of systemic therapy with or without locoregional therapy for advanced hepatocellular carcinoma (HCC). Outcomes of interest include overall survival (OS), progression-free survival (PFS), objective response rate (ORR), grade 3-4 treatment-related adverse events (TRAEs), and incidence of treatment discontinuation due to AEs. The surface under the cumulative ranking curve (SUCRA) probability values were applied to rank the interventions. 23 randomized-controlled trials including 14,303 patients with advanced HCC were included. Lenvatinib plus transcatheter arterial chemoembolization (TACE) ranked best regarding OS benefit (SUCRA: 0.99). Immuno-oncology (IO)-multikinase inhibitor (MKI)/vascular endothelial growth factor (VEGF) inhibitor combinations had a higher probability of providing better OS than IO-IO combinations. IO monotherapies demonstrated superior safety profile while combination therapies caused more toxicity in general. We conclude that combination therapies achieve remarkable efficacy in patients with advanced HCC and clinical decision making requires a careful balance of efficacy versus risk.",0.6711021100319345
Systemic Therapy for Advanced Hepatocellular Carcinoma: ASCO Guideline Update.,2024,J Clin Oncol,?,10.1200/JCO.23.02745,"Systemic Therapy for Advanced Hepatocellular Carcinoma: ASCO Guideline Update. Guideline, J Clin Oncol, 2024, https://doi.org/10.1200/JCO.23.02745, 38502889",Guideline,https://doi.org/10.1200/JCO.23.02745,38502889,"PURPOSE: To update an evidence-based guideline to assist in clinical decision-making for patients with advanced hepatocellular carcinoma (HCC). METHODS: ASCO convened an Expert Panel to update the 2020 guideline on systemic therapy for HCC. The panel updated the systematic review to include randomized controlled trials (RCTs) published through October 2023 and updated recommendations. RESULTS: Ten new RCTs met the inclusion criteria and were added to the evidence base. RECOMMENDATIONS: Atezolizumab + bevacizumab (atezo + bev) or durvalumab + tremelimumab (durva + treme) may be offered first-line for patients with advanced HCC, Child-Pugh class A liver disease, and Eastern Cooperative Oncology Group performance status 0-1. Where there are contraindications to these therapies, sorafenib, lenvatinib, or durvalumab may be offered first-line. Following first-line treatment with atezo + bev, second-line therapy with a tyrosine kinase inhibitor (TKI), ramucirumab (for patients with alpha-fetoprotein [AFP] >/=400 ng/mL), durva + treme, or nivolumab + ipilimumab (nivo + ipi) may be recommended for appropriate candidates. Following first-line therapy with durva + treme, second-line therapy with a TKI is recommended. Following first-line treatment with sorafenib or lenvatinib, second-line therapy options include cabozantinib, regorafenib for patients who previously tolerated sorafenib, ramucirumab (AFP >/=400 ng/mL), nivo + ipi, or durvalumab; atezo + bev or durva + treme may be considered for patients who did not have access to these therapies in the first-line setting, and do not have contraindications. Pembrolizumab or nivolumab are also options for appropriate patients following sorafenib or lenvatinib. Third-line therapy may be considered in Child-Pugh class A patients with good PS, using one of the agents listed previously that has a nonidentical mechanism of action with previously received therapy. A cautious approach to systemic therapy is recommended for patients with Child-Pugh class B advanced HCC. Further guidance on choosing between options is included within the guideline.Additional information is available at www.asco.org/gastrointestinal-cancer-guidelines.",0.6693500137079123
Efficacy and safety of first-line treatments for advanced hepatocellular carcinoma patients: a systematic review and network meta-analysis.,2024,Front Immunol,"['HAIC', 'immunotherapy', 'sorafenib', 'subgroup analysis', 'targeted therapy']",10.3389/fimmu.2024.1430196,"Efficacy and safety of first-line treatments for advanced hepatocellular carcinoma patients: a systematic review and network meta-analysis. SR&MA, Front Immunol, 2024, https://doi.org/10.3389/fimmu.2024.1430196, 39355238",SR&MA,https://doi.org/10.3389/fimmu.2024.1430196,39355238,"BACKGROUND: The first-line treatment for advanced hepatocellular carcinoma has evolved significantly. This study aimed to identify the most beneficial regimen. METHODS: A systematic search was conducted from July 2012 to August 2024 across the following four databases: PubMed, Embase, Cochrane Library, and ClinicalTrials.gov. This search focused on phase III prospective randomized controlled trials that compared first-line treatment for advanced hepatocellular carcinoma. RESULTS: Seventeen studies involving 10322 patients were included in this network meta-analysis. Of the studies we included, twelve studies were global multicenter clinical studies, four were initiated in China, and one was initiated in Korea. The results of our statistical analysis suggest that Hepatic artery infusion chemotherapy with oxaliplatin plus fluorouracil (HAIC-FO) demonstrated significant overall survival (OS) benefits compared with most treatments, including various immune checkpoint inhibitors (ICIs) and anti-vascular endothelial growth factor tyrosine kinase inhibitors (VEGF-TKIs). In terms of OS, HAIC had shown similar efficacy with sorafenib plus FOLFOX (HR, 0.88; 95% CI: 0.37-2.09) and transcatheter arterial chemoembolization (TACE) combined with lenvatinib (HR, 0.69; 95% CI: 0.30-1.56). Notably, immune-related treatments, such as ICIs combined with anti-VEGF therapies, also showed improved OS compared with anti-VEGF-TKIs alone. In terms of progression-free survival (PFS), HAIC-FO outperformed anti-VEGF-TKI monotherapy, ICI monotherapy, and several ICI combinations. However, it was not superior to lenvatinib plus TACE or lenvatinib plus pembrolizumab. Based on the Surface Under the Cumulative Ranking Curve (SUCRA) values, HAIC-FO was ranked the most effective in terms of OS (SUCRA = 0.961) and objective response rate (ORR) (SUCRA = 0.971). The results of the subgroup analysis suggested that HAIC-FO achieved the best OS benefit in the macrovascular invasion (MVI) and extrahepatic spread (EHS) subgroup (SUCRA = 0.99) and that tremelimumab combined with durvalumab achieved the best OS benefit in the Asian subgroup (SUCRA = 0.88). CONCLUSION: This systematic review and network meta-analysis suggest that HAIC-based therapies may become a potential first-line treatment option for advanced HCC, especially for patients in Mainland China with MVI and EHS. Additionally, immune-related treatments may be more suitable for Asian populations.",0.666489825780593
Comparative efficacy and safety of systemic therapy for advanced hepatocellular carcinoma: a systematic review and network meta-analysis.,2023,Front Oncol,"['first-line treatment', 'hepatocellular carcinoma', 'immune checkpoint inhibitors', 'second-line treatment', 'targeted therapy', 'tyrosine kinase inhibitors']",10.3389/fonc.2023.1274754,"Comparative efficacy and safety of systemic therapy for advanced hepatocellular carcinoma: a systematic review and network meta-analysis. SR&MA, Front Oncol, 2023, https://doi.org/10.3389/fonc.2023.1274754, 38125936",SR&MA,https://doi.org/10.3389/fonc.2023.1274754,38125936,"BACKGROUND: In recent years, there has been rapid development in systemic therapeutic agents for advanced hepatocellular carcinoma. However, most treatment modalities lack head-to-head comparisons, and the distinctions in their efficacy and safety have yet to be elucidated. Consequently, the accurate selection of a treatment regimen poses a significant challenge for clinicians. METHODS: This study incorporated twenty-three randomized controlled trials, encompassing fifteen first-line and eight second-line treatments, and involving a total of 14,703 patients with advanced hepatocellular carcinoma. Results: In the context of first-line treatment, it was observed that the combination of a PD-1 inhibitor with bevacizumab (1/15) significantly extended overall survival in patients with advanced HCC. Furthermore, PD-1 inhibitors combined with TKIs (1/15) and PD-1 inhibitors combined with bevacizumab (2/15) exhibited enhanced efficacy in reducing the risk of progression-free survival events. In second-line therapy, the network meta-analysis revealed that all investigational agents prolonged progression-free survival in patients with advanced hepatocellular carcinoma when compared to placebo. Cabozantinib ranked first (1/7) in this regard. However, this translated into an overall survival benefit only for cabozantinib, regorafenib, ramucirumab, and pembrolizumab, with regorafenib achieving the highest ranking (1/7). CONCLUSION: In the treatment of advanced HCC, the immune checkpoint inhibitor combined with bevacizumab regimen and the immune checkpoint inhibitor combined with TKI regimen stand out as the two most effective first-line treatment options. It is noteworthy that, for patients with absolute contraindications to VEGF inhibitors, dual immunotherapy is the preferred choice. For second-line treatment, regorafenib and cabozantinib are identified as the two most effective options. SYSTEMATIC REVIEW REGISTRATION: https://www.crd.york.ac.uk/prospero, identifier CRD42023440173.",0.6470284210175088
Molecular targeted therapy and immunotherapy in advanced hepatocellular carcinoma: a systematic review and Bayesian network meta-analysis based on randomized controlled trials.,2023,Ann Med,"['Bayesian', 'Molecular targeted therapy', 'hepatocellular carcinoma', 'immunotherapy', 'meta-analysis']",10.1080/07853890.2023.2242384,"Molecular targeted therapy and immunotherapy in advanced hepatocellular carcinoma: a systematic review and Bayesian network meta-analysis based on randomized controlled trials. SR&MA, Ann Med, 2023, https://doi.org/10.1080/07853890.2023.2242384, 37557186",SR&MA,https://doi.org/10.1080/07853890.2023.2242384,37557186,"OBJECTIVE: The aim of this study was to compare and rank different targeted therapies or immunotherapies for advanced hepatocellular carcinoma based on efficacy. METHODS: A systematic search of the PubMed, EMBASE, and Cochrane Library databases was conducted. All systematic treatment regimens that reported comparisons with sorafenib were included in this analysis. The primary outcome measures were overall survival (OS) and progression-free survival (PFS), and other outcome measures included the objective response rate (ORR) and safety analysis according to reported treatment-related adverse events. RESULTS: A total of 29 RCTs involving 13376 patients were included in the analysis, including 10 single-agent therapies and 17 combination therapies. Compared with sorafenib, sintilimab plus IBI305 (HR: 0.57, 95% CI: 0.43-0.75), camrelizumab plus rivoceranib (HR: 0.62, 95% CI: 0.49-0.78), and atezolizumab plus bevacizumab (HR: 0.66, 95% CI: 0.52-0.83) ranked in the top three in terms of OS. CONCLUSIONS: PD-1/PD-L1 inhibitors combined with anti-vascular endothelial growth factor (anti-VEGF)-targeting drugs have shown better therapeutic effects in the systematic treatment of patients with advanced hepatocellular carcinoma, and the combination of targeted and immune therapy modes should be further developed.",0.642238052503352
AGA Clinical Practice Guideline on Systemic Therapy for Hepatocellular Carcinoma.,2022,Gastroenterology,"['Hepatocellular Carcinoma', 'Liver Cancer', 'Systemic Therapy']",S0016-5085(21)04172-X,"AGA Clinical Practice Guideline on Systemic Therapy for Hepatocellular Carcinoma. Guideline, Gastroenterology, 2022, https://doi.org/S0016-5085(21)04172-X, 35210014",Guideline,https://doi.org/S0016-5085(21)04172-X,35210014,"BACKGROUND & AIMS: Hepatocellular carcinoma (HCC), the most common primary liver cancer, remains a deadly cancer, with an incidence that has tripled in the United States since 1980. In recent years, new systemic therapies for HCC have been approved and a critical assessment of the existing data is necessary to balance benefits and harms and inform the development of evidence-based guidelines. METHODS: The American Gastroenterological Association formed a multidisciplinary group consisting of a Technical Review Panel and a Guideline Panel. The Technical Review Panel prioritized clinical questions and outcomes according to their importance for clinicians and patients and conducted an evidence review of systemic therapies in patients with advanced-stage HCC. The Grading of Recommendations Assessment, Development and Evaluation framework was used to assess evidence. The Guideline Panel reviewed the evidence and used the Evidence-to-Decision Framework to develop recommendations. RESULTS: The Panel reviewed the evidence, summarized in the Technical Review, for the following medications approved by the US Food and Drug Administration for HCC: first-line therapies: bevacizumab+atezolizumab, sorafenib, and lenvatinib; second-line therapies: cabozantinib, pembrolizumab, ramucirumab, and regorafenib; and other agents: bevacizumab, nivolumab, and nivolumab+ipilimumab. CONCLUSIONS: The Panel agreed on 11 recommendations focused on systemic therapy for HCC in patients who are not eligible for locoregional therapy or resection, those with metastatic disease and preserved liver function, those with poor liver function, and those on systemic therapy as adjuvant therapy.",0.6392810799436798
Ranking of transarterial and targeted therapies for advanced hepatocellular carcinoma in the era of immuno-oncology: A network meta-analysis of randomized sorafenib-controlled trials.,2022,Hepatol Commun,?,10.1002/hep4.2025,"Ranking of transarterial and targeted therapies for advanced hepatocellular carcinoma in the era of immuno-oncology: A network meta-analysis of randomized sorafenib-controlled trials. SR&MA, Hepatol Commun, 2022, https://doi.org/10.1002/hep4.2025, 35785525",SR&MA,https://doi.org/10.1002/hep4.2025,35785525,"To date, no studies have compared the new first-line atezolizumab+bevacizumab with transarterial therapies combined with the prior standard-of-care, sorafenib, in patients with advanced hepatocellular carcinoma (HCC). We compared and ranked all relevant transarterial and targeted treatments competing with atezolizumab+bevacizumab for such disease, based on direct and indirect evidence. This network meta-analysis was conducted as a systematic review of phase 2 and 3 randomized sorafenib-controlled trials investigating systemic treatment strategies for HCCs unsuitable for or that progressed after surgery or locoregional treatments as first-line option published between 2008 and 2021. We ranked the treatments based on overall survival (OS) as the primary outcome, together with progression-free survival (PFS) and grade 3-4 adverse events. Subgroup analyses were also implemented to estimate intervention efficacies in particular groups. We identified 3451 publications, 15 trials consisting of 7158 patients, using 14 different therapies including combinations of sorafenib with transarterial chemoembolization (TACE), hepatic arterial chemoinfusion, and radioembolization. Regarding OS, atezolizumab+bevacizumab was the only regimen significantly superior to sorafenib (hazard ratio 0.42; 95% confidence interval [CI] 0.25-0.70), and it ranked first. This combination was also the best in the PFS analysis (0.59; 0.47-0.74), followed by lenvatinib (0.66; 0.57-0.76) and TACE+sorafenib (0.73; 0.59-0.91); all had significantly better outcomes than sorafenib alone. TACE+sorafenib (0.52; 0.27-1.00) was ranked first based on OS in a subset with portal invasion, but not in the metastatic series, with atezolizumab+bevacizumab second (0.58; 0.38-0.89). Lenvatinib (odds ratio 1.76; 95% CI 1.35-2.30) and TACE+sorafenib (2.02; 1.23-3.32), but not atezolizumab+bevacizumab (1.38; 0.93-2.05), were significantly less safe than sorafenib monotherapy. Conclusion: Our results indicate that atezolizumab+bevacizumab is the best first-line clinically relevant systemic modality in advanced HCC. TACE+sorafenib may also be considered for the disease with portal invasion. (PROSPERO No. CRD42021250701).",0.6366286095132718
Sequencing of systemic therapy in unresectable hepatocellular carcinoma: A systematic review and Bayesian network meta-analysis of randomized clinical trials.,2024,Crit Rev Oncol Hematol,"['Advanced', 'First-line', 'Hepatocellular carcinoma', 'Network meta-analysis', 'Second-line']",S1040-8428(24)00265-8,"Sequencing of systemic therapy in unresectable hepatocellular carcinoma: A systematic review and Bayesian network meta-analysis of randomized clinical trials. SR&MA, Crit Rev Oncol Hematol, 2024, https://doi.org/S1040-8428(24)00265-8, 39332750",SR&MA,https://doi.org/S1040-8428(24)00265-8,39332750,"PURPOSE: For patients with advanced or unresectable hepatocellular carcinoma (HCC), safe and effective therapies are urgently needed to improve their long-term prognosis. Although the guidelines recommend first-line treatments such as sorafenib, lenvatinib, and atezolizumab in combination with bevacizumab (T+A) and second-line treatments such as regorafenib, the efficacy comparison between drugs is lacking, that is, a treatment is not recommended as the optimal or alternative choice for a specific patient population. Therefore, we will conduct a high-quality network meta-analysis based on Phase III randomized controlled trials (RCTs) to systematically evaluate and compare overall survival (OS), progression-free survival (PFS), objective response rate (ORR), and serious adverse events (SAE) of different treatment protocols in the context of first-line and second-line therapies, which are critical for clinical decision making and prognostic improvement in advanced HCC patients. METHODS: The studies of interest were Phase III RCTs evaluating the efficacy or safety of first- or second-line therapies in patients with unresectable or advanced HCC. Literature published in English from the four databases of PubMed, Embase, Cochrane Library, and Web of Science was comprehensively searched from the inception to May 23, 2022. Outcomes of interest included OS, PFS, ORR, and SAE. A league table was developed to show the results of the comparison between different treatments. A histogram of cumulative probability was drawn to discuss the ranking probability of treatments based on different outcomes. The effectiveness and safety of various treatments were comprehensively considered and the two-dimensional diagram was plotted to guide clinical practice. The Gemtc package in R Studio was used for network meta-analysis in a Bayesian framework. RESULTS: The results showed that HAIC-FO was superior to T+A regimen, regardless of OS, PFS or ORR. TACE combined with lenvatinib performed better than T+A in PFS, and ORR. In addition to the T+A regimen, Sintilimab combined with IBI305 and camrelizumab combined with apatinib were also associated with longer OS, PFS, and ORR, and their SAE incidence was not higher than that of T+A, especially for camrelizumab combined with apatinib, its safety was better than that of T+A regimen. There were no new treatments or combinations that were more effective than regorafenib. It was important to note that for PFS, the efficacy of apatinib and cabozantinib was not statistically different from that of regorafenib, so these two treatments could be used as alternative treatment options in cases where regorafenib was not tolerated or treatment failed. CONCLUSIONS: We conducted a network meta-analysis to evaluate the efficacy and safety of multiple treatment modalities by integrating the results of direct and indirect comparisons. This study included high-quality multicenter Phase III RCTs, collated and summarized all treatments involved in advanced or unresectable HCC in first-line and second-line settings, and compared with T+A and regorafenib, respectively, and ranked based on efficacy and safety to support clinical decision making.",0.6284100706467247
